record_type,group,parameter,value,description,fallback_hierarchy,category,status,calibration_status,fallback_priority
fallback_hierarchy,fallback_hierarchy,arrears_proxy,Use observed arrears stage from collections tape.,Documented fallback step,arrears_proxy,fallback_rule,active,n/a_rule_based,1
fallback_hierarchy,fallback_hierarchy,arrears_proxy,"Use proxy arrears stage from lvr,dti,credit_score bands.",Documented fallback step,arrears_proxy,fallback_rule,active,n/a_rule_based,2
fallback_hierarchy,fallback_hierarchy,arrears_proxy,"If proxy inputs missing, apply conservative late-stage arrears bucket.",Documented fallback step,arrears_proxy,fallback_rule,active,n/a_rule_based,3
fallback_hierarchy,fallback_hierarchy,behaviour_proxy,Use observed repayment behaviour score.,Documented fallback step,behaviour_proxy,fallback_rule,active,n/a_rule_based,1
fallback_hierarchy,fallback_hierarchy,behaviour_proxy,"Use proxy behaviour from p&i flag, seasoning, dti, lvr, credit score.",Documented fallback step,behaviour_proxy,fallback_rule,active,n/a_rule_based,2
fallback_hierarchy,fallback_hierarchy,behaviour_proxy,"If behaviour inputs missing, default to neutral/stable proxy.",Documented fallback step,behaviour_proxy,fallback_rule,active,n/a_rule_based,3
fallback_hierarchy,fallback_hierarchy,discount_rate,Use contract_rate_proxy when available.,Documented fallback step,discount_rate,fallback_rule,active,n/a_rule_based,1
fallback_hierarchy,fallback_hierarchy,discount_rate,"Use cost_of_funds_proxy as floor via max(contract_rate_proxy, cost_of_funds_proxy).",Documented fallback step,discount_rate,fallback_rule,active,n/a_rule_based,2
fallback_hierarchy,fallback_hierarchy,discount_rate,"If one proxy is missing, use available proxy and flag assumption.",Documented fallback step,discount_rate,fallback_rule,active,n/a_rule_based,3
fallback_hierarchy,fallback_hierarchy,secured_cure_overlay,Use observed cure rates from workout history by product/segment.,Documented fallback step,secured_cure_overlay,fallback_rule,active,n/a_rule_based,1
fallback_hierarchy,fallback_hierarchy,secured_cure_overlay,Use simplified secured-product cure overlay proxy.,Documented fallback step,secured_cure_overlay,fallback_rule,active,n/a_rule_based,2
fallback_hierarchy,fallback_hierarchy,secured_cure_overlay,"If overlay inputs missing, set cure overlay to zero and disclose limitation.",Documented fallback step,secured_cure_overlay,fallback_rule,active,n/a_rule_based,3
policy_parameter,mortgage_cure_proxy,arrears_stage_proxy,"30-59/60-89/90+ dpd proxy from lvr,dti,credit_score",Proxy arrears stage when detailed delinquency tape is unavailable.,arrears_proxy,proxy_input,active,proxy_not_calibrated_to_internal_collections_tape,
policy_parameter,mortgage_cure_proxy,repayment_behaviour_proxy,"weak/stable/strong from pii, score, seasoning, dti, lvr",Behaviour proxy for cure likelihood in mortgage workout.,behaviour_proxy,proxy_input,active,proxy_not_calibrated_to_internal_collections_tape,
policy_parameter,mortgage_cure_proxy,cure_lgd_formula,lgd = (1 - cure_rate) * liquidation_loss,Two-stage mortgage LGD with explicit cure channel.,cure_model_inputs,methodology_standard,active,proxy_rule_not_internally_calibrated,
policy_parameter,mortgage_cure_proxy,mortgage_stage1_probability_of_cure,proxy_logit_drivers_lvr_arrears_borrower_behaviour,Stage 1 estimates P(cure) from transparent proxy drivers.,cure_model_inputs,stage_1_cure,active,proxy_not_calibrated_to_internal_collections_tape,
policy_parameter,mortgage_cure_proxy,mortgage_stage2_liquidation_loss_if_not_cured,proxy_liquidation_loss_non_cure_channel,Stage 2 estimates liquidation loss conditional on non-cure.,cure_model_inputs,stage_2_liquidation,active,proxy_not_calibrated_to_internal_workout_tape,
policy_parameter,discount_rate_policy,discount_rate_rule,"max(contract_rate_proxy, cost_of_funds_proxy)",Workout discount rate uses contractual return floor and funding floor.,discount_rate,policy_parameter,active,proxy_rule_not_internally_calibrated,
policy_parameter,aggregation,lgd_aggregation_method,ead_weighted,Portfolio LGD uses Sum(LGD_i*EAD_i)/Sum(EAD_i).,not_applicable,methodology_standard,active,n/a_rule_based,
policy_parameter,validation_wording,governance_scope_note,demo_portfolio_not_production_calibration,"Validation outputs are demonstration checks, not production model approval.",not_applicable,governance,active,not_production_validated,
policy_parameter,secured_cure_overlay,commercial_cure_rate_proxy_cap,0.30,Cap on simplified secured-commercial cure overlay.,secured_cure_overlay,cure_overlay,active,proxy_not_calibrated_to_internal_workout_tape,
policy_parameter,secured_cure_overlay,development_cure_rate_proxy_cap,0.25,Cap on simplified development cure overlay.,secured_cure_overlay,cure_overlay,active,proxy_not_calibrated_to_internal_workout_tape,
