doc,component_id,component_name,documented_model_options,strict_option_audit,evidence_code_paths,evidence_output_tables,logic_trace,status,gap_reason,exact_remediation_tasks,acceptance_criteria
cashflow_methodology,5.1,EAD at default and conversion,observed_ead | segment_ccf_average | glm_or_logistic_bounded_conversion,1:PASS:observed_ead | 2:PASS:segment_ccf_average | 3:FAIL:glm_or_logistic_bounded_conversion,notebooks/03_commercial_cashflow_lgd.ipynb | notebooks/04_receivables_invoice_finance_lgd.ipynb | notebooks/05_trade_contingent_facilities_lgd.ipynb | notebooks/06_asset_equipment_finance_lgd.ipynb | src/demo_pipeline.py,"present:commercial_framework_ead_ccf_summary.csv,receivables_invoice_finance_ead_summary.csv,trade_contingent_ead_conversion_summary.csv,asset_equipment_finance_ead_summary.csv",EAD/CCF proxies flow into segment/base-downturn summaries and final framework outputs in commercial notebooks.,Proxy-only,GLM/logistic conversion option is documented but not implemented end-to-end in production pipeline.,"Build dedicated EAD model package with option switch: observed, segmented-average, GLM/logit conversion. | Integrate selected EAD/CCF outputs into product pipelines before severity model execution. | Export component output table with loan-level EAD, CCF, model_option_used, and confidence diagnostics. | Add tests for option parity and bounds (ead>=drawn, ccf in [0,1]).","All 3 documented EAD options implemented and selectable; output table includes ead, ccf, option_used; tests pass."
cashflow_methodology,5.2,Cure probability,logistic_regression | segmented_cure_table | constrained_expert_overlay,1:FAIL:logistic_regression | 2:PASS:segmented_cure_table | 3:PASS:constrained_expert_overlay,src/lgd_calculation.py | notebooks/02_residential_mortgage_lgd.ipynb | notebooks/07_development_finance_lgd.ipynb,"present:cure_overlay_report.csv,proxy_flags_report.csv",Cure proxies present in engines; explicit fitted logistic appears in mortgage notebook only; not standard across cashflow modules.,Proxy-only,Not all documented options are implemented for cashflow modules; logistic cure is not integrated portfolio-wide.,Train cure probability models using logistic + segmented tables + constrained expert overlay fallback with explicit routing rules. | Persist cure outputs as loan-level `p_cure` and segment-level cure summaries for all applicable modules. | Wire cure split directly into economic LGD assembly for non-mortgage modules. | Add calibration and discrimination tests by segment and vintage.,All 3 cure options implemented with routing logic; cure outputs produced for applicable products; calibration tests pass.
cashflow_methodology,5.3,Non-cure severity,glm_regression | beta_regression | segment_weighted_average,1:FAIL:glm_regression | 2:FAIL:beta_regression | 3:PASS:segment_weighted_average,src/lgd_calculation.py | notebooks/03_commercial_cashflow_lgd.ipynb | notebooks/19_cashflow_lending_pd_alignment.ipynb,"present:commercial_framework_segment_summary.csv,commercial_framework_estimate_vs_realised_by_segment.csv",Severity currently driven by rule-based formulas and weighted segment summaries; no integrated GLM/beta severity engines.,Proxy-only,GLM and beta severity options documented but absent from productionized cashflow pipeline.,"Implement explicit non-cure severity model set: GLM, beta regression, and thin-sample segment average fallback. | Add model selection config and persist `severity_model_option_used` per observation. | Export segment severity diagnostics and compare against realised liquidation outcomes. | Add regression fit and bounded-output validation tests.",All 3 severity options implemented; bounded severity outputs and diagnostics exported; regression tests pass.
cashflow_methodology,5.4,Recovery timing,survival_hazard | duration_regression | segment_timing_average,1:FAIL:survival_hazard | 2:FAIL:duration_regression | 3:PASS:segment_timing_average,src/lgd_calculation.py | notebooks/03_commercial_cashflow_lgd.ipynb | notebooks/04_receivables_invoice_finance_lgd.ipynb,"present:commercial_framework_loan_level_output.csv,receivables_invoice_finance_loan_level_output.csv","Timing proxies (e.g., workout_months) influence downturn scalars; no survival/duration fitted component models.",Proxy-only,Only segment/proxy timing present; survival and duration model options missing.,"Implement time-to-recovery modelling module with survival/hazard, duration regression, and segment-average fallback. | Integrate predicted recovery timing into discounting step for economic LGD. | Export first/final recovery timing outputs and timing-distribution summaries. | Add monotonic and plausibility tests for timing outputs.",All 3 timing options implemented; timing tables produced and used in discounting; timing validation tests pass.
cashflow_methodology,5.5,Recovery cost rate,segment_historical_average_cost | regression_by_workout_type,1:PASS:segment_historical_average_cost | 2:FAIL:regression_by_workout_type,src/demo_pipeline.py | notebooks/03_commercial_cashflow_lgd.ipynb | notebooks/06_asset_equipment_finance_lgd.ipynb,"present:recovery_waterfall.csv,asset_equipment_finance_loan_level_output.csv",Cost effects are represented via proxy rates/penalties; no regression cost model by workout complexity.,Proxy-only,Regression cost model option documented but not implemented.,Implement recovery-cost model set with segment-average and regression-by-path options. | Integrate predicted cost rates into net recovery PV computation. | Export cost-by-path and cost-rate model diagnostics. | Add non-negativity and reconciliation tests against realised cost proxies.,Both cost options implemented; cost outputs exported and integrated; reconciliation tests pass.
cashflow_methodology,5.6,Final realised economic LGD,direct_realised_lgd | second_stage_glm_beta_segment_table,1:PASS:direct_realised_lgd | 2:FAIL:second_stage_glm_beta_segment_table,src/lgd_calculation.py | src/lgd_final.py | notebooks/03_commercial_cashflow_lgd.ipynb,"present:commercial_framework_loan_level_output.csv,lgd_final.csv",Economic/final LGD is calculated through deterministic chain; optional second-stage generalisation model is not implemented.,Proxy-only,Second-stage model option is absent.,Refactor economic LGD builder to enforce cashflow-level discounting path and model-option trace columns. | Add optional second-stage generalisation model registry (GLM/beta/segment table) with deterministic selection policy. | Export realised economic LGD + long-run segment baseline from unified component outputs. | Add reconciliation test from cashflows to loan-level economic LGD.,Direct realised and second-stage options both implemented and traceable; economic LGD tables fully reproducible.
cashflow_methodology,5.7,Downturn LGD and conservatism,stress_window_calibration | macro_linked_overlay | policy_floor_and_moc,1:FAIL:stress_window_calibration | 2:PASS:macro_linked_overlay | 3:PASS:policy_floor_and_moc,src/lgd_calculation.py | src/overlay_parameters.py | scripts/run_validation_sequence.py,"present:downturn_lgd_output.csv,overlay_trace_report.csv,parameter_version_report.csv",Macro-linked overlay + MoC/floor chain exists and is governed; stress-window calibration mode not implemented.,Proxy-only,One documented option (stress-window calibration) missing.,"Add downturn calibration modes: stress-window calibration, macro-linked overlay, and policy floor/MoC layer as separate selectable options. | Persist applied downturn mode and parameters in overlay trace outputs. | Export segment-level downturn sensitivity under each mode. | Add tests ensuring deterministic application order and `lgd_downturn>=lgd_economic`.",All 3 downturn options implemented and selectable; overlay trace identifies mode + params; ordering and inequality checks pass.
cashflow_methodology,5.8,End-to-end component assembly,component_chain_with_option_coverage_across_all_5_1_to_5_7,1:FAIL:all_upstream_component_options_implemented,src/lgd_calculation.py | scripts/run_validation_sequence.py | outputs/tables/validation_sequence_report.csv,"present:lgd_segment_summary.csv,validation_sequence_report.csv","Assembly exists, but strict-all-options fails due to component-level option gaps upstream.",Proxy-only,End-to-end chain is functional but not option-complete under strict-all-options rule.,"Implement full end-to-end component orchestrator with explicit intermediate artifacts (EAD, cure/path, severity, timing, costs, economic, downturn, final). | Add option-coverage validator that fails when any documented model option is unimplemented for a component. | Publish component lineage report linking every final LGD row to upstream component options and tables. | Add integration tests that rebuild final LGD from component artifacts and match published outputs.",Component chain artifacts are complete and reproducible; lineage report covers all final LGD rows; integration parity tests pass.
property_backed_methodology,5.1,EAD at default,observed_ead | ccf_utilisation_model | segmented_or_glm,1:PASS:observed_ead | 2:PASS:ccf_utilisation_model | 3:FAIL:segmented_or_glm,notebooks/07_development_finance_lgd.ipynb | notebooks/11_bridging_loan_lgd.ipynb | src/lgd_calculation.py,"present:bridging_loan_level_output.csv,cre_investment_loan_level_output.csv ; missing:development_lgd_results.csv",Property modules use observed/proxy EAD patterns; development notebook exports expected outputs but files currently missing.,Proxy-only,Segmented/GLM option absent; required development output evidence currently missing in outputs/tables.,"Implement property EAD package with observed-EAD, utilisation/CCF model, and segmented/GLM options under one interface. | Integrate EAD option selector into mortgage, CRE, development, and bridging pipelines before cure/path branching. | Re-run development notebook export path so `development_lgd_results.csv` is produced and versioned with metadata. | Add EAD validation tests for ccf bounds, utilisation monotonicity, and option parity across property modules.","Observed, utilisation/CCF, and segmented/GLM EAD options implemented for property products; development output evidence is present; EAD tests pass."
property_backed_methodology,5.2,Cure probability,logistic_regression | segmented_cure_tables | tree_challenger,1:PASS:logistic_regression | 2:PASS:segmented_cure_tables | 3:FAIL:tree_challenger,notebooks/02_residential_mortgage_lgd.ipynb | notebooks/07_development_finance_lgd.ipynb | src/lgd_calculation.py,"present:cure_overlay_report.csv,proxy_flags_report.csv","Logistic and segment/proxy cure logic evidenced (mortgage/development), but tree-based challenger not implemented.",Proxy-only,Tree-based challenger option missing.,"Add tree-based cure challenger model and model governance routing (champion/challenger) for property products. | Persist cure model outputs and challenger deltas in loan-level component table with `cure_model_option_used`. | Integrate challenger evaluation summary into validation sequence report for property segments. | Add calibration/discrimination tests comparing logistic, segmented, and tree options by segment.","Logistic, segmented, and tree-challenger cure options implemented with champion/challenger outputs; calibration tests pass."
